clean_text,polarity,subjectivity,location
imagine dinner Washington DC Oct John Brennan Director CIA Susan Rice Obama's…,0,0,United States
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,
It ’ mid October I ’ yet visit anything October,0,0,"Washington, USA"
They 're impeachment inquiry behind closed doors *assassination* plot POTUS Brennan leading…,-0.25,0.4,
We ’ delighted announce Donie Brennan Intermediate Manager season ... ..we wish m…,0.7,0.7,Laois
Brennan Armstrong Nearing return,0,0,
You might recognize much ’ oozing charisma ... More Leo,0.35,0.35,
Brennan Clapper one person flip regarding coup We know,0,0,
What All see fine dining,0.416666667,0.5,dewey ur mum
Whistleblower Tapes Trump Wiretapped “ A Zillion Times ” By ‘ The Hammer ’ Brennan ’ Clapper ’ Secret Computer System…,-0.4,0.7,"Moorestown, NJ"
:30 Main Room The Best The Store …,0.583333333,0.316666667,second star to the right
’ actually really upset right,0.242857143,0.367857143,"Washington, USA"
You everything secret Room talk Like secret room 're really plotting assass…,-0.2,0.533333333,
googled /11 I think I ’ gon na sick,-0.714285714,0.857142857,
I hunch Brennan appetizer twisted plot treason ... .🤔,-0.5,1,USA
Hola unroll asked Thread `` 1. imagine dinner Washington DC Oct …,0,0,Ozarks
Obama tweeting Canadians vote trudeau is…,0,0,
Brennan Clapper one person flip regarding coup We know,0,0,
Whistleblower Tapes Trump Wiretapped “ A Zillion Times ” By ‘ The Hammer ’ Brennan ’ Clapper ’ Secret Computer System…,-0.4,0.7,
Brennan Clapper one person flip regarding coup We know,0,0,"Iowa, USA"
:30 Main Room The Best The Store …,0.583333333,0.316666667,"Los Angeles, CA"
asks `` Do think Republicans might like question Mr. Brennan Mr. Clapper oat…,0,0,
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,"California, USA"
…,0,0,Suffolk VA
Committing perjury serious offense SO serious President Clinton impeached committed perjury…,-0.333333333,0.666666667,"California, USA"
Let ’ go get Brennan Clay Roy Finch Joe Jon Finley round offense Lewis…,-0.2,0.4,
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,
WB IMPLICATES BRENNAN,0,0,"Kentucky, USA"
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,United States
I hereby declare wood duck national duck United States mullets,0,0,"Washington, USA"
OBAMA CIA JOHN BRENNAN CRIES OUT AS AG BARR JOHN DURHAM CLOSE IN WITH N ... via,0,0,
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,USA
Trump responds rebuke Graham decision Syria `` Lindsey needs focus judiciary ... democ…,0,0,Connecticut
