clean_text,polarity,subjectivity,location
I got flu shot weekend means I n't wash hands ALL WINTER LONG baby,-0.05,0.4,
I got flu shot weekend means I n't wash hands ALL WINTER LONG baby,-0.05,0.4,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
Another child severely affected He 's ok several days ventilator lengthy hospital s…,0.25,0.25,"Monroe, MI"
You 'd think gave medals getting flu shot,0.0,0.0,"Victoria, British Columbia"
HPEPH offering flu shot dedicated drop-in community clinics For list flu clinic locations please…,0.0,0.0,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
Do n't think onions save Spanish Flu Try Vick 's Vabo-Rub It stimulates mucous membranes …,0.0,0.0,
Jus got flu shot thats first time nigga ever goin shoot,0.25,0.3333333333333333,
Had flu jab Totally fine My arm n't even ache Go get,0.4166666666666667,0.5,
cuffing season flu season cus I ’ sick played,-0.7142857142857143,0.8571428571428571,"Oviedo, FL"
“ If break leg get flu ’ question need sick day still way go com…,-0.7142857142857143,0.8571428571428571,WhereTheWildThingsAre
FREE FLU SHOTS Our first clinic Fri La Crescenta Library pm No health insurance require…,0.325,0.5666666666666667,Los Angeles
Stop propaganda Flu vaccine scam,-0.1,0.1,"Wroclaw, Poland"
Did cold flu season get best Click link receive you…,0.2,0.65,
Longing sick day essentials get cold flu season Click he…,-0.6571428571428571,0.9285714285714286,
You may want consider dehumidifier fall winter Aprilaire,0.0,0.0,
Brexit making manufacture distribution flu shots extra complicated year,-0.25,0.55,Ecuador
ANOTHER flu shot DEATH A friend gym lost brother flu vaccine He received vaccine face swe…,0.0,0.0,Newport Beach / Los Angeles
Did cold flu season get best Click link receive free Theraflu Sick…,0.26666666666666666,0.7000000000000001,
Did cold flu season get best Click link receive free Theraflu S…,0.26666666666666666,0.7000000000000001,
Did cold flu season get best Click link receive free…,0.2,0.65,
Santo ISD Flu Shot Clinic Open public See download Consent Form,0.0,0.2833333333333333,"Santo, Texas"
Make sure YOU get flu shot Halloween Per reports dangerous strain might circulate year No flu…,-0.04999999999999999,0.8944444444444444,"Johnston, IA"
Time get flu shot MF 's -- I want healthy,0.5,0.5,"Chicago, Illinois"
Next time I shall arrange Rev Sharpton extra free flu shots house Then ’ go t…,0.13333333333333333,0.3,
asshole gave flu shot n't give bandaid bled sleeve,0.0,0.0,"San Diego, CA"
Had flu jab ’ wiped,0.0,0.0,handsome island
Black people think club crackers amp gingerale cure type stomach ache stomach flu food poisoning whatever lol,0.3166666666666667,0.5666666666666667,Jalon World 🌏💙
Get flu shot idiot,-0.8,0.8,🌊🌊🌊
TESCO COLD AND FLU TABLETS ARE FUCKING INCREDIBLE,0.15000000000000002,0.95,London
I I 'm ready yet Grr Ridiculous flu hit awful time,-0.4583333333333333,0.825,"Southern Ontario, Canada"
We ’ got Flu questions flu pop quiz So far Dedi Kristen Cheryl Can redeem him…,0.1,1.0,"Charlotte, NC"
The City Hoboken offering free seasonal flu vaccines Hoboken residents adults Thursday October …,0.4,0.8,
Next time I shall arrange Rev Sharpton extra free flu shots house Then ’ l…,0.13333333333333333,0.3,"Sacramento, CA"
Tomorrow All vaccines required school FREE also flu shots HPV vaccines Ages younger whil…,0.2,0.4,"Seattle, WA"
Take flu jab Mine shut least day,-0.3,0.4,"Leeds, Yorkshire, UK"
I leaned DIRECTLY flu shot shoulder,0.1,0.4,Baltimore gal in Cardiff
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
