clean text,polarity,subjectivity,location,,sentiment,,notes
-- Good line says POTUS would go BigPharma pushing opiods `` They nothing tha…,-0.75,0.75,"San Francisco, CA",,,,
-- Good line says POTUS would go BigPharma pushing opiods `` They nothing…,-0.1,0.1,LA,,,,
.. And Recent Opioid Epidemic How Long GOP Accepting BRIBES Pharmaceut…,0.55,0.8,,,,,
... _white_ people use opiods Crack minorities ca n't teach children empathy th…,0.241666667,0.525,East Coast,,,,
... shout lil Sophia Bday gal st karate sparring despite …,-0.033333333,0.433333333,,,,,
.🇺🇸 Nothing BETTER To Do But TWATTING ALL DAY‼ Wait ... What About AFFORDABLE HEALTHCARE …,0,0,"Florida, USA",,,,
/2 Opiods unnecessary many urologic surgeries even w/ new ERAS non-opi…,0.241666667,0.525,"Texas, USA",,,,
`` gon na talk opiod epidemic senator klobuchar please- '' fuck ca n't deal wit…,0,0,SoCal,,,,
`` Good tips '' start opiod epidemic countries Adriane Fugh-Berman …,0,0,East Coast,,,,
`` I would buy back opiods 'Cause I would opiods make bazillion dollars dealing back everyone '',0.029166667,0.495833333,Up north,,,,
`` know teammate 's abuse opiods Do know supplied Do yo…,0.375,0.875,,,,,
`` Molly xanax type opiods Dumb shit '' Dumb shit still took despite waking fe…,0,0,"Texas, USA",,,,
`` opiods '' peak zayde I want grandpa,-0.1,0.1,The Mitten,,,,
`` Senator Klobuchar How would fix opiod crisis fix rural healthcare rural job shortages seconds less '',0,0,,,,,
`` The opiod epidemic means much My dad alcoholic '' ... ..,-0.05625,0.4125,Florida,,,,
`` This matter Justice '' ~Kamala Harris prosecuting opiod manufacturers earned big applause party,0,0,Dallas,,,,
`` Transphobic '' netflix special The transgender comments small fraction special Wheres `` gun lobby…,0.329166667,0.708333333,"Massachusetts, USA",,,,
`` Unheard America today '' yeah unheard rural America drugged opiods ha…,0.7,0.6,"Las Vegas, NV",,,,
`` You know kills people '' Dr Jerome Adams speaking …,-0.5,0.2,"Oregon, USA",,,,
18B ~= half one years US sales `` Global Market Study Opiods ... '' ... .not bad one t…,-0.333333333,1,Atlanta,,,,
703 MNK long open Opiod settlement swining TEVA long term,-0.2,0.05,,,,,
A breath test opiods developed could useful caring chronic pain patients well chec…,0.329166667,0.708333333,Shenandoah Valley ,,,,
A complete revamp medical field Organic drugs therapies shamanism community diet amp exercise We the…,0,0,,,,,
A culture short-term sales profits costs ... COSTS JNJ,0.52,0.91,HODOR,,,,
A great initiative working not-for-profit organizations communicate information child…,0,0,,,,,
A little something wrote recently Do You Have What It Takes Become An Addiction Counselor The Key Traits an…,0.7,0.6,"Los Angeles, CA",,,,
A muppet got opiod addiction Say,0.25,0.25,,,,,
A Republican plan KKK sued Intended genocide along Reagan 's funding Sadanist…,-0.122222222,0.411111111,Brooklyn,,,,
A study researchers Stanford Duke shows early Physical therapy intervention musculoskeletal pain decr…,0.329166667,0.708333333,,,,,
A thriving global opiod trade,0,0,Upper MI,,,,
A West Virginia University School Medicine researcher developing app train key personnel rural areas…,0.152083333,0.610416667,East New York Brooklyn!,,,,
